workout_type,full_date,avg_hr,max_hr,active_cal,total_cal
'Boxing','2/27/2020',137,150,457,577
'High Intensity Interval Training','2/26/2020',147,175,544,663
'Boxing','2/25/2020',135,159,510,635
'High Intensity Interval Training','2/24/2020',140,168,491,609
'High Intensity Interval Training','2/24/2020',147,168,429,518
'Boxing','2/23/2020',138,148,508,631
'High Intensity Interval Training','2/22/2020',118,126,159,219
'Boxing','2/22/2020',131,150,428,542
'High Intensity Interval Training','2/20/2020',111,132,308,417
'High Intensity Interval Training','2/19/2020',139,159,404,502
'Boxing','2/18/2020',148,162,531,651
'Boxing','2/17/2020',142,162,569,696
'High Intensity Interval Training','2/16/2020',125,138,588,750
'Boxing','2/15/2020',133,154,677,827
'Outdoor Running','2/15/2020',113,131,227,311
'Boxing','2/14/2020',138,161,576,712
'High Intensity Interval Training','2/12/2020',138,156,554,686
'Boxing','2/10/2020',128,155,496,628
'High Intensity Interval Training','2/9/2020',141,155,382,480
'High Intensity Interval Training','2/7/2020',152,170,563,684
'High Intensity Interval Training','2/7/2020',152,170,562,676
'High Intensity Interval Training','2/6/2020',146,181,636,790
'High Intensity Interval Training','2/6/2020',149,181,509,605
'High Intensity Interval Training','2/3/2020',156,180,601,725
'High Intensity Interval Training','2/3/2020',156,180,604,706
'High Intensity Interval Training','2/2/2020',142,161,501,626
'High Intensity Interval Training','2/2/2020',136,161,450,545
'High Intensity Interval Training','1/30/2020',139,162,522,649
'High Intensity Interval Training','1/28/2020',145,169,524,638
'High Intensity Interval Training','1/28/2020',144,169,487,589
'High Intensity Interval Training','1/27/2020',155,173,510,614
'High Intensity Interval Training','1/27/2020',150,173,525,640
'High Intensity Interval Training','1/24/2020',156,170,550,658
'High Intensity Interval Training','1/24/2020',148,170,545,656
'High Intensity Interval Training','1/22/2020',149,173,568,672
'High Intensity Interval Training','1/22/2020',149,173,547,664
'High Intensity Interval Training','1/21/2020',150,172,608,740
'High Intensity Interval Training','1/21/2020',151,172,566,669
'High Intensity Interval Training','1/19/2020',151,170,788,946
'High Intensity Interval Training','1/19/2020',149,170,782,931
'High Intensity Interval Training','1/17/2020',0,0,543,664
'High Intensity Interval Training','1/16/2020',153,181,561,679
'High Intensity Interval Training','1/16/2020',143,181,557,670
'High Intensity Interval Training','1/7/2020',154,162,592,693
'High Intensity Interval Training','1/7/2020',154,162,561,663
'High Intensity Interval Training','1/4/2020',157,175,557,651
'High Intensity Interval Training','1/4/2020',129,175,563,695
'High Intensity Interval Training','1/2/2020',148,167,558,663
'High Intensity Interval Training','1/2/2020',140,167,522,621
